facility_id,facility_name,facility_type,district,mandal,village,latitude,longitude,department,source_layer,record_completeness_pct
TG-17-317,"Primary Health Centre, Jhari",Primary Health Centre,Adilabad,Gadiguda,Jhari,19.582507,78.847294,,Primary Health Centre,100.0
TG-17-318,"Primary Health Centre, Narnoor",Primary Health Centre,Adilabad,Narnoor,Narnoor,19.500207,78.84835,,Primary Health Centre,100.0
TG-17-238,"Primary Health Centre, Narsapur",Primary Health Centre,Adilabad,Bhoraj,Gimma Khurd,19.780764,78.542838,,Primary Health Centre,100.0
TG-17-192,"Primary Health Centre, Neradigonda",Primary Health Centre,Adilabad,Neradigonda,Neradigonda2,19.301083,78.402553,,Primary Health Centre,100.0
TG-17-256,"Primary Health Centre, Pittabongaram",Primary Health Centre,Adilabad,Inderavelly,Dasnapur,19.453859,78.629057,,Primary Health Centre,100.0
TG-17-285,"Primary Health Centre, Shyampur",Primary Health Centre,Adilabad,Utnur,Shampur,19.426525,78.736462,,Primary Health Centre,100.0
TG-17-167,"Primary Health Centre, Sonala",Primary Health Centre,Adilabad,Sonala,Sonala,19.424376,78.317186,,Primary Health Centre,100.0
TG-17-235,"Primary Health Centre, Syedpur",Primary Health Centre,Adilabad,Adilabad Urban,Adilabad(u),19.669646,78.537059,,Primary Health Centre,100.0
TG-17-190,"Primary Health Centre, Talamadugu",Primary Health Centre,Adilabad,Talamadugu,Talamadugu,19.641908,78.395382,,Primary Health Centre,100.0
TG-17-200,"Primary Health Centre, Tamsi",Primary Health Centre,Adilabad,Tamsi,Tamsi(B),19.68186,78.425025,,Primary Health Centre,100.0
TG-18-117,"SubCentr, Indervelly",Sub Centre,Adilabad,Inderavelly,Indervelly (B),19.491372,78.686528,,Health Sub Centre,100.0
TG-18-2,"SubCentre, Andarband",Sub Centre,Adilabad,Bheempoor,Andarbandh,19.753779,78.378534,,Health Sub Centre,100.0
TG-18-3,"SubCentre, Andur",Sub Centre,Adilabad,Boath,Anduru,19.291793,78.298852,,Health Sub Centre,100.0
TG-18-4,"SubCentre, Ankoli",Sub Centre,Adilabad,Adilabad Rural,Ankoli,19.601385,78.560407,,Health Sub Centre,100.0
TG-18-5,"SubCentre, Arjuni",Sub Centre,Adilabad,Gadiguda,Arjuni,19.597165,78.818443,,Health Sub Centre,100.0
TG-18-7,"SubCentre, Bazarhathnoor",Sub Centre,Adilabad,Bazarhathnoor,Bazarhathnoor,19.458315,78.352221,,Health Sub Centre,100.0
TG-18-8,"SubCentre, Beersaipet",Sub Centre,Adilabad,Utnur,Birsaipet,19.288196,78.813487,,Health Sub Centre,100.0
TG-18-9,"SubCentre, Bela",Sub Centre,Adilabad,Bela,Bela,19.718918,78.771706,,Health Sub Centre,100.0
TG-18-10,"SubCentre, Bharampur",Sub Centre,Adilabad,Talamadugu,Bharampur,19.596958,78.411949,,Health Sub Centre,100.0
TG-18-11,"SubCentre, Bheempur",Sub Centre,Adilabad,Bheempoor,Bheempoor,19.774933,78.421901,,Health Sub Centre,100.0
TG-18-12,"SubCentre, Bheemsari",Sub Centre,Adilabad,Adilabad Urban,Adilabad(u),19.686874,78.535077,,Health Sub Centre,100.0
TG-18-13,"SubCentre, Bhutai",Sub Centre,Adilabad,Bazarhathnoor,Bhutai Buzurg,19.504551,78.333914,,Health Sub Centre,100.0
TG-18-14,"SubCentre, Boath",Sub Centre,Adilabad,Boath,Boath Buzurg,19.339921,78.321633,,Health Sub Centre,100.0
TG-18-15,"SubCentre, Boraj",Sub Centre,Adilabad,Bhoraj,Bhoraj,19.742402,78.54195,,Health Sub Centre,100.0
TG-18-16,"SubCentre, Borigam",Sub Centre,Adilabad,Sathnala,Boregaon,19.648816,78.753288,,Health Sub Centre,100.0
TG-18-105,"SubCentre, Buggaram",Sub Centre,Adilabad,Neradigonda,Forest,19.286269,78.443932,,Health Sub Centre,100.0
TG-18-17,"SubCentre, Chanda",Sub Centre,Adilabad,Adilabad Rural,Chanda-T,19.711292,78.548339,,Health Sub Centre,100.0
TG-18-18,"SubCentre, Chanduri",Sub Centre,Adilabad,Utnur,Chandur,19.451559,78.799825,,Health Sub Centre,100.0
TG-18-19,"SubCentre, Chaprala",Sub Centre,Adilabad,Bela,Chaprala,19.691049,78.818443,,Health Sub Centre,100.0
TG-18-20,"SubCentre, Chintalbori T",Sub Centre,Adilabad,Sonala,Chintalabori,19.411726,78.261559,,Health Sub Centre,100.0
TG-18-21,"SubCentre, Chisdhari Khanapur",Sub Centre,Adilabad,Adilabad Rural,Chichdhari,19.540375,78.707938,,Health Sub Centre,100.0
TG-18-22,"SubCentre, Dantanpally",Sub Centre,Adilabad,Utnur,Danthanpalle,19.325732,78.818686,,Health Sub Centre,100.0
TG-18-23,"SubCentre, Dasnapur",Sub Centre,Adilabad,Mavala,Dasnapur,19.656459,78.527751,,Health Sub Centre,100.0
TG-18-118,"SubCentre, Dasnapur",Sub Centre,Adilabad,Inderavelly,Dasnapur,19.453162,78.628693,,Health Sub Centre,100.0
TG-18-24,"SubCentre, Dehgaon",Sub Centre,Adilabad,Bela,Dehegaon,19.72999,78.784455,,Health Sub Centre,100.0
TG-18-25,"SubCentre, Devapur",Sub Centre,Adilabad,Talamadugu,Devapur,19.611806,78.460275,,Health Sub Centre,100.0
TG-18-26,"SubCentre, Dhaba K",Sub Centre,Adilabad,Gadiguda,Dhaba(Buzurg),19.577221,78.875064,,Health Sub Centre,100.0
TG-18-119,"SubCentre, Dhanora B",Sub Centre,Adilabad,Inderavelly,Dhannura (K),19.514665,78.616982,,Health Sub Centre,100.0
TG-18-120,"SubCentre, Eshwarnagar",Sub Centre,Adilabad,Inderavelly,Indervelly (B),19.47954,78.680649,,Health Sub Centre,100.0
TG-18-29,"SubCentre, Gadiguda",Sub Centre,Adilabad,Gadiguda,Paraswada (B),19.600741,78.923167,,Health Sub Centre,100.0
TG-18-30,"SubCentre, Gerjam",Sub Centre,Adilabad,Ichoda,Gerjam,19.411116,78.472353,,Health Sub Centre,100.0
TG-18-31,"SubCentre, Ghanpur",Sub Centre,Adilabad,Utnur,Ghanpur,19.349445,78.843927,,Health Sub Centre,100.0
TG-18-32,"SubCentre, Gimma",Sub Centre,Adilabad,Bhoraj,Gimma Khurd,19.777591,78.54195,,Health Sub Centre,100.0
TG-18-33,"SubCentre, Girgaon",Sub Centre,Adilabad,Tamsi,Girgaon,19.728842,78.355778,,Health Sub Centre,100.0
TG-18-34,"SubCentre, Girnoor",Sub Centre,Adilabad,Bazarhathnoor,Girnur,19.453246,78.398442,,Health Sub Centre,100.0
TG-18-35,"SubCentre, Gokonda",Sub Centre,Adilabad,Bazarhathnoor,Dhabadi,19.51527,78.363955,,Health Sub Centre,100.0
TG-18-36,"SubCentre, Gudihathnoor",Sub Centre,Adilabad,Gudihathnur,Gudihathinur,19.529267,78.512132,,Health Sub Centre,100.0
TG-18-112,"SubCentre, Gunjala",Sub Centre,Adilabad,Bheempoor,Gunjala,19.794675,78.42119,,Health Sub Centre,100.0
TG-18-106,"SubCentre, Gutpala",Sub Centre,Adilabad,Boath,Pochera,19.344351,78.376851,,Health Sub Centre,100.0
TG-18-37,"SubCentre, Hasnapur",Sub Centre,Adilabad,Utnur,Hasnapur,19.417392,78.810446,,Health Sub Centre,100.0
TG-18-121,"SubCentre, Heerapur",Sub Centre,Adilabad,Inderavelly,Heerapur,19.497749,78.660794,,Health Sub Centre,100.0
TG-18-38,"SubCentre, Ichoda East",Sub Centre,Adilabad,Ichoda,Ichoda,19.427579,78.452402,,Health Sub Centre,100.0
TG-18-39,"SubCentre, Ichoda West",Sub Centre,Adilabad,Ichoda,Ichoda,19.427603,78.455301,,Health Sub Centre,100.0
TG-18-40,"SubCentre, Jainad",Sub Centre,Adilabad,Jainad,Jainad,19.732735,78.642711,,Health Sub Centre,100.0
TG-18-41,"SubCentre, Jamini",Sub Centre,Adilabad,Sathnala,Jamini,19.656969,78.696597,,Health Sub Centre,100.0
TG-18-42,"SubCentre, Jatarla",Sub Centre,Adilabad,Bazarhathnoor,Jatarla,19.489469,78.324479,,Health Sub Centre,100.0
TG-18-43,"SubCentre, Jhari",Sub Centre,Adilabad,Talamadugu,Jhari,19.606873,78.372846,,Health Sub Centre,100.0
TG-18-44,"SubCentre, Kamai",Sub Centre,Adilabad,Bhoraj,Kamai,19.816735,78.560584,,Health Sub Centre,100.0
TG-18-45,"SubCentre, Kampa Mediguda",Sub Centre,Adilabad,Sathnala,Pardi Khurd,19.665821,78.651221,,Health Sub Centre,100.0
TG-18-46,"SubCentre, Kapparla",Sub Centre,Adilabad,Tamsi,Kapparla,19.725347,78.459564,,Health Sub Centre,100.0
TG-18-47,"SubCentre, Karanji",Sub Centre,Adilabad,Bheempoor,Karanji (T),19.855683,78.312383,,Health Sub Centre,100.0
TG-18-48,"SubCentre, Karatwada",Sub Centre,Adilabad,Boath,Karathwada,19.361873,78.298864,,Health Sub Centre,100.0
TG-18-49,"SubCentre, Keshavpatnam",Sub Centre,Adilabad,Ichoda,Ichoda,19.427579,78.452402,,Health Sub Centre,100.0
TG-18-122,"SubCentre, Keslapur",Sub Centre,Adilabad,Inderavelly,Keslaguda,19.505597,78.646589,,Health Sub Centre,100.0
TG-18-50,"SubCentre, Khandala",Sub Centre,Adilabad,Adilabad Rural,Khandala(U),19.573418,78.673912,,Health Sub Centre,100.0
TG-18-51,"SubCentre, Khuchulapur",Sub Centre,Adilabad,Boath,Kuchalapur,19.326792,78.333727,,Health Sub Centre,100.0
TG-18-52,"SubCentre, Kobbai",Sub Centre,Adilabad,Bela,Kobhai,19.727326,78.835433,,Health Sub Centre,100.0
TG-18-53,"SubCentre, Kodad",Sub Centre,Adilabad,Talamadugu,Khodad,19.673384,78.466314,,Health Sub Centre,100.0
TG-18-54,"SubCentre, Kokasmannur",Sub Centre,Adilabad,Ichoda,Kokasmannur,19.393875,78.436439,,Health Sub Centre,100.0
TG-18-55,"SubCentre, Kolhari",Sub Centre,Adilabad,Gudihathnur,Kolhari1,19.505406,78.526331,,Health Sub Centre,100.0
TG-18-123,"SubCentre, Kondapur",Sub Centre,Adilabad,Sirikonda,Kondapur,19.435761,78.585778,,Health Sub Centre,100.0
TG-18-57,"SubCentre, Kura",Sub Centre,Adilabad,Jainad,Kura,19.769744,78.671076,,Health Sub Centre,100.0
TG-18-58,"SubCentre, Lakkaram",Sub Centre,Adilabad,Utnur,Lakkaram,19.381407,78.797143,,Health Sub Centre,100.0
TG-18-59,"SubCentre, Laxmipur",Sub Centre,Adilabad,Jainad,Laxmipur (Uligan),19.693987,78.66753,,Health Sub Centre,100.0
TG-18-60,"SubCentre, Lokari",Sub Centre,Adilabad,Gadiguda,Lokari (K),19.572352,78.843927,,Health Sub Centre,100.0
TG-18-61,"SubCentre, Malepur",Sub Centre,Adilabad,Narnoor,Malangi,19.48477,78.945795,,Health Sub Centre,100.0
TG-18-62,"SubCentre, Mamidiguda",Sub Centre,Adilabad,Inderavelly,Mamidiguda,19.459194,78.652775,,Health Sub Centre,100.0
TG-18-63,"SubCentre, Mannur",Sub Centre,Adilabad,Gudihathnur,Mannur,19.48445,78.496504,,Health Sub Centre,100.0
TG-18-64,"SubCentre, Marlapally",Sub Centre,Adilabad,Boath,Marlapalle,19.322614,78.242118,,Health Sub Centre,100.0
TG-18-65,"SubCentre, Mavala",Sub Centre,Adilabad,Mavala,Mavala,19.635438,78.508578,,Health Sub Centre,100.0
TG-18-66,"SubCentre, Mediguda",Sub Centre,Adilabad,Inderavelly,Mamidiguda,19.459194,78.652639,,Health Sub Centre,100.0
TG-18-68,"SubCentre, Mutnoor",Sub Centre,Adilabad,Inderavelly,Muthnur1,19.513602,78.629794,,Health Sub Centre,100.0
TG-18-124,"SubCentre, Mutnoor",Sub Centre,Adilabad,Inderavelly,Muthnur1,19.513364,78.629937,,Health Sub Centre,100.0
TG-18-115,"SubCentre, Narnoor",Sub Centre,Adilabad,Narnoor,Narnoor,19.500941,78.851066,,Health Sub Centre,100.0
TG-18-107,"SubCentre, Neradigonda",Sub Centre,Adilabad,Neradigonda,Neradigonda2,19.299925,78.405551,,Health Sub Centre,100.0
TG-18-70,"SubCentre, Nipani",Sub Centre,Adilabad,Bheempoor,Nipani,19.748959,78.456367,,Health Sub Centre,100.0
TG-18-71,"SubCentre, Nirala",Sub Centre,Adilabad,Jainad,Nirala,19.733153,78.597665,,Health Sub Centre,100.0
TG-18-72,"SubCentre, Paraswada B",Sub Centre,Adilabad,Gadiguda,Paraswada (B),19.577267,78.923167,,Health Sub Centre,100.0
TG-18-74,"SubCentre, Pendalwada",Sub Centre,Adilabad,Bhoraj,Pendalwada,19.804826,78.594827,,Health Sub Centre,100.0
TG-18-75,"SubCentre, Perkaguda",Sub Centre,Adilabad,Utnur,Nagapur,19.402128,78.7548,,Health Sub Centre,100.0
TG-18-76,"SubCentre, Pippaldari",Sub Centre,Adilabad,Adilabad Rural,Pippaldhari,19.59544,78.651221,,Health Sub Centre,100.0
TG-18-77,"SubCentre, Pippalkoti",Sub Centre,Adilabad,Bheempoor,,19.823963,78.57886,,Health Sub Centre,100.0
TG-18-79,"SubCentre, Pochara",Sub Centre,Adilabad,Boath,Pochera,19.33439,78.360756,,Health Sub Centre,100.0
TG-18-80,"SubCentre, Pulimadugu",Sub Centre,Adilabad,Utnur,Pulimadugu,19.454067,78.706012,,Health Sub Centre,100.0
TG-18-81,"SubCentre, Ramai",Sub Centre,Adilabad,Sathnala,Ramai,19.655759,78.631362,,Health Sub Centre,100.0
TG-18-82,"SubCentre, Ramnagar",Sub Centre,Adilabad,Mavala,Dasnapur,19.653745,78.520027,,Health Sub Centre,100.0
TG-18-84,"SubCentre, Salewada B",Sub Centre,Adilabad,Utnur,Salewada Buzurg,19.432327,78.717363,,Health Sub Centre,100.0
TG-18-85,"SubCentre, Sangidi",Sub Centre,Adilabad,Bela,Sangdi,19.764729,78.730616,,Health Sub Centre,100.0
TG-18-86,"SubCentre, Sayeedpur",Sub Centre,Adilabad,Sathnala,Syedpur,19.632542,78.727781,,Health Sub Centre,100.0
TG-18-88,"SubCentre, Sevadasnagar",Sub Centre,Adilabad,Utnur,Utnur,19.370075,78.774539,,Health Sub Centre,100.0
TG-18-89,"SubCentre, Shantapur",Sub Centre,Adilabad,Gudihathnur,Gondharkapur,19.475267,78.536271,,Health Sub Centre,100.0
TG-18-90,"SubCentre, Shyampur",Sub Centre,Adilabad,Utnur,Shampur,19.424768,78.743005,,Health Sub Centre,100.0
TG-18-91,"SubCentre, Sirchalma",Sub Centre,Adilabad,Ichoda,Forest,19.311056,78.557568,,Health Sub Centre,100.0
TG-18-92,"SubCentre, Sirkonda",Sub Centre,Adilabad,Sirikonda,Sirikonda,19.437238,78.560407,,Health Sub Centre,100.0
TG-18-93,"SubCentre, Sirsanna",Sub Centre,Adilabad,Bela,Sirsanna,19.719465,78.710773,,Health Sub Centre,100.0
TG-18-94,"SubCentre, Sonala",Sub Centre,Adilabad,Sonala,Sonala,19.417934,78.316653,,Health Sub Centre,100.0
TG-18-116,"SubCentre, Tadihatnoor",Sub Centre,Adilabad,Narnoor,Tadihadapnur,19.452632,78.829007,,Health Sub Centre,100.0
TG-18-95,"SubCentre, Talamadri",Sub Centre,Adilabad,Ichoda,Talamadri,19.414016,78.51781,,Health Sub Centre,100.0
TG-18-96,"SubCentre, Talamadugu",Sub Centre,Adilabad,Talamadugu,Talamadugu,19.642647,78.393466,,Health Sub Centre,100.0
TG-18-97,"SubCentre, Tamsi",Sub Centre,Adilabad,Tamsi,Tamsi(B),19.687772,78.422611,,Health Sub Centre,100.0
TG-18-108,"SubCentre, Tarnam",Sub Centre,Adilabad,Neradigonda,Tarnam (Khurd),19.337436,78.442511,,Health Sub Centre,100.0
TG-18-109,"SubCentre, Tejapur",Sub Centre,Adilabad,Neradigonda,Tejapur,19.324412,78.387778,,Health Sub Centre,100.0
TG-18-98,"SubCentre, Tembi",Sub Centre,Adilabad,Bazarhathnoor,Tembi,19.500354,78.404167,,Health Sub Centre,100.0
TG-18-99,"SubCentre, Tosham",Sub Centre,Adilabad,Gudihathnur,Tosham,19.524489,78.561408,,Health Sub Centre,100.0
TG-18-100,"SubCentre, Umri T",Sub Centre,Adilabad,Talamadugu,Umrei,19.62423,78.324479,,Health Sub Centre,100.0
TG-18-101,"SubCentre, Utnoor",Sub Centre,Adilabad,Utnur,Utnur,19.371173,78.779225,,Health Sub Centre,100.0
TG-18-110,"SubCentre, Waddur",Sub Centre,Adilabad,Bheempoor,Wadoor,19.82796,78.403419,,Health Sub Centre,100.0
TG-18-102,"SubCentre, Waghapur",Sub Centre,Adilabad,Gudihathnur,Waghapur,19.568026,78.463117,,Health Sub Centre,100.0
TG-18-126,"SubCentre, Walgonda",Sub Centre,Adilabad,Inderavelly,Dasnapur,19.431188,78.627277,,Health Sub Centre,100.0
TG-18-111,"SubCentre, Wankidi",Sub Centre,Adilabad,Neradigonda,Ispur,19.206141,78.381378,,Health Sub Centre,100.0
TG-18-103,"SubCentre, Yapalguda",Sub Centre,Adilabad,Adilabad Rural,Yapalguda,19.651198,78.605824,,Health Sub Centre,100.0
TG-18-104,"SubCentre, Yenda",Sub Centre,Adilabad,Utnur,Yenda,19.447269,78.731074,,Health Sub Centre,100.0
TG-8-17,RIMS Hospital,Teaching Hospital,Adilabad,Mavala,Dasnapur,19.662546,78.527077,Director of Medical Education,Medical Colleges,100.0
TG-15-2,UPHC Chilkuri Laxmi Nagar,Urban Primary Health Centre,Adilabad,Adilabad Urban,Adilabad(u),19.691446,78.542591,,Urban Primary Health Centre,100.0
TG-15-247,UPHC Hamaliwada(UPHC),Urban Primary Health Centre,Adilabad,Adilabad Urban,Bhukthapur,19.681892,78.529256,,Urban Primary Health Centre,100.0
TG-15-1,UPHC Puthlibowli,Urban Primary Health Centre,Adilabad,Adilabad Urban,Bhukthapur,19.681892,78.529256,,Urban Primary Health Centre,100.0
TG-15-3,UPHC Shanthinagar,Urban Primary Health Centre,Adilabad,Adilabad Urban,Adilabad(u),19.663602,78.539268,,Urban Primary Health Centre,100.0
TG-15-4,Uphc Hamaliwada,Urban Primary Health Centre,Adilabad,Adilabad Urban,Bhukthapur,19.681892,78.529256,,Urban Primary Health Centre,100.0
TG-15-5,Uphc Kurshednagar,Urban Primary Health Centre,Adilabad,Adilabad Urban,Bhukthapur,19.67874,78.520478,,Urban Primary Health Centre,100.0
TG-10-3,AH Ashwaraopeta,Area Hospital,Bhadradri Kothagudem,Aswaraopeta,Aswaraopeta,17.242569,81.118224,TVVP,Area Hospital,100.0
TG-10-5,AH Bhadrachalam,Area Hospital,Bhadradri Kothagudem,Bhadrachalam,Bhadrachalam,17.649898,80.896317,TVVP,Area Hospital,100.0
TG-10-6,AH Manuguru,Area Hospital,Bhadradri Kothagudem,Manuguru,Mallaram,17.928923,80.823799,TVVP,Area Hospital,100.0
TG-10-4,AH Yellandu,Area Hospital,Bhadradri Kothagudem,Yellandu,Sudimalla,17.585791,80.329118,TVVP,Area Hospital,100.0
TG-13-7,"Hamali colony, R&R Colony Ellandu",Basti Dawakhana,Bhadradri Kothagudem,Yellandu,Sudimalla,17.572172,80.334649,,Basti Dawakhana,100.0
TG-13-5,"Karkavagu Municipal CH, Palvancha",Basti Dawakhana,Bhadradri Kothagudem,Palvancha,Palvancha,17.62522,80.680367,,Basti Dawakhana,100.0
TG-13-8,"Lal Bhadur Shastri Nagar , BDK Ellandu",Basti Dawakhana,Bhadradri Kothagudem,Yellandu,Sudimalla,17.593113,80.32287,,Basti Dawakhana,100.0
TG-13-4,Power house Basthi old Kothagudem ( Rajiv park) BC Colony CH,Basti Dawakhana,Bhadradri Kothagudem,Kothagudem,Kothagudem,17.546721,80.625451,,Basti Dawakhana,100.0
TG-13-6,Ramavaram Kothagudem BDK Arogya lakshmi Building,Basti Dawakhana,Bhadradri Kothagudem,Kothagudem,Ramavaram,17.520477,80.619492,,Basti Dawakhana,100.0
TG-16-3,CHC Bhurgumpadu,Community Health Centre,Bhadradri Kothagudem,Burgampadu,Burgampadu,17.64512,80.866456,TVVP,Community Health Centre,100.0
TG-16-4,CHC Charla,Community Health Centre,Bhadradri Kothagudem,Cherla,Mogallapalli (Z),18.070101,80.824012,TVVP,Community Health Centre,100.0
TG-16-2,CHC Palavoncha,Community Health Centre,Bhadradri Kothagudem,Palvancha,Palvancha,17.6005,80.704417,TVVP,Community Health Centre,100.0
TG-17-631,"Primary HEalth Centre, Manuguru",Primary Health Centre,Bhadradri Kothagudem,Manuguru,Forest,17.950582,80.818598,,Primary Health Centre,100.0
TG-17-606,"Primary Health Centre, Allapalli",Primary Health Centre,Bhadradri Kothagudem,Allapalli,Allapalli,17.828178,80.474867,,Primary Health Centre,100.0
TG-17-633,"Primary Health Centre, Aswapuram",Primary Health Centre,Bhadradri Kothagudem,Aswapuram,Aswapuram,17.828731,80.829744,,Primary Health Centre,100.0
TG-17-641,"Primary Health Centre, Aswaraopeta",Primary Health Centre,Bhadradri Kothagudem,Aswaraopeta,Asupaka,17.348981,81.119435,,Primary Health Centre,100.0
TG-17-619,"Primary Health Centre, Chandrugonda",Primary Health Centre,Bhadradri Kothagudem,Chandrugonda,Chandrugonda,17.382412,80.656947,,Primary Health Centre,100.0
TG-17-629,"Primary Health Centre, Charla",Primary Health Centre,Bhadradri Kothagudem,Cherla,Koyyuru (Z),18.091536,80.797345,,Primary Health Centre,100.0
TG-17-640,"Primary Health Centre, Dammapeta",Primary Health Centre,Bhadradri Kothagudem,Dammapeta,Mandalapalli,17.256533,81.011267,,Primary Health Centre,100.0
TG-17-637,"Primary Health Centre, Dummugudem",Primary Health Centre,Bhadradri Kothagudem,Dummugudem,Dummugudem,17.85465,80.900258,,Primary Health Centre,100.0
TG-17-626,"Primary Health Centre, Edira",Primary Health Centre,Bhadradri Kothagudem,Cherla,Subbampeta (G),18.111047,80.746558,,Primary Health Centre,100.0
TG-17-623,"Primary Health Centre, Erragunta",Primary Health Centre,Bhadradri Kothagudem,Annapureddipalle,Peddireddigudem,17.318642,80.692699,,Primary Health Centre,100.0
TG-17-642,"Primary Health Centre, Gummadavalli",Primary Health Centre,Bhadradri Kothagudem,Aswaraopeta,Bachuvarigudem,17.415145,81.177915,,Primary Health Centre,100.0
TG-17-597,"Primary Health Centre, Gundala",Primary Health Centre,Bhadradri Kothagudem,Gundala,Gundala,17.910172,80.321964,,Primary Health Centre,100.0
TG-17-627,"Primary Health Centre, Jaganadhapuram",Primary Health Centre,Bhadradri Kothagudem,Palvancha,Somulagudem,17.606045,80.747089,,Primary Health Centre,100.0
TG-17-622,"Primary Health Centre, Janampeta",Primary Health Centre,Bhadradri Kothagudem,Pinapaka,Janampeta,18.098962,80.688671,,Primary Health Centre,100.0
TG-17-611,"Primary Health Centre, Julurupadu",Primary Health Centre,Bhadradri Kothagudem,Julurupad,Gundepudi,17.409641,80.50616,,Primary Health Centre,100.0
TG-17-615,"Primary Health Centre, Karakagudem",Primary Health Centre,Bhadradri Kothagudem,Karakagudem,Karakagudem,18.040464,80.571815,,Primary Health Centre,100.0
TG-17-596,"Primary Health Centre, Komararam",Primary Health Centre,Bhadradri Kothagudem,Yellandu,Komararam,17.707612,80.317677,,Primary Health Centre,100.0
TG-17-632,"Primary Health Centre, Mangapeta",Primary Health Centre,Bhadradri Kothagudem,Mulakalapally,Mulakalapalle,17.504073,80.818899,,Primary Health Centre,100.0
TG-17-630,"Primary Health Centre, Morampallibanjara",Primary Health Centre,Bhadradri Kothagudem,Burgampadu,Morampalli Banjar,17.636105,80.808159,,Primary Health Centre,100.0
TG-17-635,"Primary Health Centre, Narsapuram",Primary Health Centre,Bhadradri Kothagudem,Dummugudem,Narsapuram,17.775839,80.882426,,Primary Health Centre,100.0
TG-17-638,"Primary Health Centre, Parnasala",Primary Health Centre,Bhadradri Kothagudem,Dummugudem,Chinabandirevu,17.916311,80.918365,,Primary Health Centre,100.0
TG-17-639,"Primary Health Centre, Patwarigudem",Primary Health Centre,Bhadradri Kothagudem,Dammapeta,Patwarigudem,17.350915,80.963159,,Primary Health Centre,100.0
TG-17-621,"Primary Health Centre, Penagadapa",Primary Health Centre,Bhadradri Kothagudem,Chunchupally,Penugadapa,17.465174,80.670259,,Primary Health Centre,100.0
TG-17-624,"Primary Health Centre, Pinapaka",Primary Health Centre,Bhadradri Kothagudem,Pinapaka,Pinapaka,18.025215,80.693003,,Primary Health Centre,100.0
TG-17-618,"Primary Health Centre, Regalla",Primary Health Centre,Bhadradri Kothagudem,Laxmidevipally,Regalla,17.614562,80.635987,,Primary Health Centre,100.0
TG-17-594,"Primary Health Centre, Rompedu",Primary Health Centre,Bhadradri Kothagudem,Yellandu,Rompedu,17.63805,80.298462,,Primary Health Centre,100.0
TG-17-634,"Primary Health Centre, Satyanarayanapuram",Primary Health Centre,Bhadradri Kothagudem,Cherla,R.kothagudem(G),18.01157,80.86588,,Primary Health Centre,100.0
TG-17-614,"Primary Health Centre, Sujatha Nagar",Primary Health Centre,Bhadradri Kothagudem,Sujathanagar,Sujathanagar,17.48406,80.56811,,Primary Health Centre,100.0
